linguagem_preferida,uf,percentual
AQL,BR-AL,0.0
C/C++/C#,BR-AL,0.0
CLOJURE,BR-AL,0.0
DAX,BR-AL,0.0
ELIXIR,BR-AL,0.0
EXCEL,BR-AL,0.0
GO,BR-AL,0.0
JAVA,BR-AL,0.0
JAVASCRIPT,BR-AL,0.0
JULIA,BR-AL,0.0
KQL,BR-AL,0.0
M,BR-AL,0.0
M LANGUAGE,BR-AL,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-AL,0.0
NENHUM,BR-AL,0.0
NENHUMA,BR-AL,0.0
NÃO SEI,BR-AL,0.0
NÃO USO,BR-AL,0.0
NÃO UTILIZO,BR-AL,0.0
PYSPARK,BR-AL,0.0
PYTHON,BR-AL,95.2
R,BR-AL,0.0
RUST,BR-AL,0.0
SAS,BR-AL,0.0
SCALA,BR-AL,0.0
SOFTWARES ESTATÍSTICOS COMO SPSS,BR-AL,0.0
SPARK,BR-AL,0.0
SQL,BR-AL,4.8
SQL POSTEGRES,BR-AL,0.0
VBA,BR-AL,0.0
XLSX,BR-AL,0.0
AQL,BR-AM,0.0
C/C++/C#,BR-AM,0.0
CLOJURE,BR-AM,0.0
DAX,BR-AM,0.0
ELIXIR,BR-AM,0.0
EXCEL,BR-AM,0.0
GO,BR-AM,0.0
JAVA,BR-AM,0.0
JAVASCRIPT,BR-AM,0.0
JULIA,BR-AM,0.0
KQL,BR-AM,0.0
M,BR-AM,0.0
M LANGUAGE,BR-AM,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-AM,0.0
NENHUM,BR-AM,0.0
NENHUMA,BR-AM,0.0
NÃO SEI,BR-AM,0.0
NÃO USO,BR-AM,0.0
NÃO UTILIZO,BR-AM,0.0
PYSPARK,BR-AM,0.0
PYTHON,BR-AM,94.7
R,BR-AM,5.3
RUST,BR-AM,0.0
SAS,BR-AM,0.0
SCALA,BR-AM,0.0
SOFTWARES ESTATÍSTICOS COMO SPSS,BR-AM,0.0
SPARK,BR-AM,0.0
SQL,BR-AM,0.0
SQL POSTEGRES,BR-AM,0.0
VBA,BR-AM,0.0
XLSX,BR-AM,0.0
AQL,BR-BA,0.0
C/C++/C#,BR-BA,1.9
CLOJURE,BR-BA,0.0
DAX,BR-BA,0.0
ELIXIR,BR-BA,0.0
EXCEL,BR-BA,1.0
GO,BR-BA,0.0
JAVA,BR-BA,1.0
JAVASCRIPT,BR-BA,0.0
JULIA,BR-BA,0.0
KQL,BR-BA,0.0
M,BR-BA,0.0
M LANGUAGE,BR-BA,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-BA,0.0
NENHUM,BR-BA,0.0
NENHUMA,BR-BA,0.0
NÃO SEI,BR-BA,0.0
NÃO USO,BR-BA,0.0
NÃO UTILIZO,BR-BA,0.0
PYSPARK,BR-BA,0.0
PYTHON,BR-BA,77.7
R,BR-BA,18.4
RUST,BR-BA,0.0
SAS,BR-BA,0.0
SCALA,BR-BA,0.0
SOFTWARES ESTATÍSTICOS COMO SPSS,BR-BA,0.0
SPARK,BR-BA,0.0
SQL,BR-BA,0.0
SQL POSTEGRES,BR-BA,0.0
VBA,BR-BA,0.0
XLSX,BR-BA,0.0
AQL,BR-CE,0.0
C/C++/C#,BR-CE,0.0
CLOJURE,BR-CE,0.0
DAX,BR-CE,0.0
ELIXIR,BR-CE,1.6
EXCEL,BR-CE,0.0
GO,BR-CE,0.0
JAVA,BR-CE,0.0
JAVASCRIPT,BR-CE,0.0
JULIA,BR-CE,0.0
KQL,BR-CE,0.0
M,BR-CE,0.0
M LANGUAGE,BR-CE,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-CE,0.0
NENHUM,BR-CE,0.0
NENHUMA,BR-CE,0.0
NÃO SEI,BR-CE,1.6
NÃO USO,BR-CE,0.0
NÃO UTILIZO,BR-CE,0.0
PYSPARK,BR-CE,0.0
PYTHON,BR-CE,85.7
R,BR-CE,9.5
RUST,BR-CE,0.0
SAS,BR-CE,0.0
SCALA,BR-CE,0.0
SOFTWARES ESTATÍSTICOS COMO SPSS,BR-CE,0.0
SPARK,BR-CE,0.0
SQL,BR-CE,1.6
SQL POSTEGRES,BR-CE,0.0
VBA,BR-CE,0.0
XLSX,BR-CE,0.0
AQL,BR-DF,0.0
C/C++/C#,BR-DF,0.0
CLOJURE,BR-DF,0.0
DAX,BR-DF,0.0
ELIXIR,BR-DF,0.0
EXCEL,BR-DF,0.0
GO,BR-DF,0.0
JAVA,BR-DF,0.0
JAVASCRIPT,BR-DF,0.0
JULIA,BR-DF,1.1
KQL,BR-DF,0.0
M,BR-DF,0.0
M LANGUAGE,BR-DF,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-DF,0.0
NENHUM,BR-DF,0.0
NENHUMA,BR-DF,0.0
NÃO SEI,BR-DF,0.0
NÃO USO,BR-DF,0.0
NÃO UTILIZO,BR-DF,0.0
PYSPARK,BR-DF,0.0
PYTHON,BR-DF,85.3
R,BR-DF,11.6
RUST,BR-DF,0.0
SAS,BR-DF,0.0
SCALA,BR-DF,2.1
SOFTWARES ESTATÍSTICOS COMO SPSS,BR-DF,0.0
SPARK,BR-DF,0.0
SQL,BR-DF,0.0
SQL POSTEGRES,BR-DF,0.0
VBA,BR-DF,0.0
XLSX,BR-DF,0.0
AQL,BR-ES,0.0
C/C++/C#,BR-ES,0.0
CLOJURE,BR-ES,0.0
DAX,BR-ES,0.0
ELIXIR,BR-ES,0.0
EXCEL,BR-ES,0.0
GO,BR-ES,0.0
JAVA,BR-ES,0.0
JAVASCRIPT,BR-ES,0.0
JULIA,BR-ES,3.4
KQL,BR-ES,0.0
M,BR-ES,0.0
M LANGUAGE,BR-ES,0.0
NAO ATUO COM PROGRAMAÇÃO,BR-ES,0.0
NENHUM,BR-ES,0.0
NENHUMA,BR-ES,0.0
NÃO SEI,BR-ES,0.0
NÃO USO,BR-ES,0.0
NÃO UTILIZO,BR-ES,0.0
PYSPARK,BR-ES,0.0
PYTHON,BR-ES,94.9
R,BR-ES,1.7
RUST,BR-ES,0.0
