uf,cargo_atual,linguagem_preferida
BR-DF,DBA/Administrador de Banco de Dados,R
BR-PA,Não informado,NÃO INFORMADO
BR-DF,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-MG,Cientista de Dados/Data Scientist,PYTHON
BR-PA,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-CE,Professor,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-RS,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-BA,Professor,R
BR-RJ,Analista de BI/BI Analyst,PYTHON
BR-RS,Analista de Inteligência de Mercado/Market Intelligence,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-MS,Analista de Negócios/Business Analyst,PYTHON
BR-SP,Analista de Negócios/Business Analyst,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-PB,Não informado,NÃO INFORMADO
BR-MT,Não informado,NÃO INFORMADO
BR-MG,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-SP,Não informado,NÃO INFORMADO
BR-PR,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),PYTHON
BR-RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-MG,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Outra Opção,PYTHON
BR-ES,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-MG,Não informado,NÃO INFORMADO
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-MG,Analista de Dados/Data Analyst,R
BR-PR,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-MG,Analista de BI/BI Analyst,PYTHON
BR-SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-DF,Não informado,NÃO INFORMADO
BR-PR,Analista de BI/BI Analyst,PYTHON
BR-SP,Analista de Negócios/Business Analyst,PYTHON
BR-RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RS,Cientista de Dados/Data Scientist,PYTHON
BR-BA,Não informado,NÃO INFORMADO
BR-BA,Analista de Suporte/Analista Técnico,PYTHON
BR-RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RS,Não informado,NÃO INFORMADO
BR-SP,Não informado,NÃO INFORMADO
BR-PR,Outra Opção,PYTHON
BR-DF,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-RJ,Engenheiro de Machine Learning/ML Engineer,PYTHON
BR-PR,Não informado,NÃO INFORMADO
BR-MG,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-PB,Cientista de Dados/Data Scientist,PYTHON
BR-Não informado,Cientista de Dados/Data Scientist,PYTHON
BR-MS,Engenheiro de Machine Learning/ML Engineer,PYTHON
BR-PB,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Analista de Negócios/Business Analyst,PYTHON
BR-DF,Não informado,NÃO INFORMADO
BR-CE,Analista de Dados/Data Analyst,PYTHON
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-MG,Analista de BI/BI Analyst,PYTHON
BR-PR,Analista de Negócios/Business Analyst,PYTHON
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Não informado,NÃO INFORMADO
BR-RJ,Não informado,NÃO INFORMADO
BR-MG,Analytics Engineer,PYTHON
BR-MG,Analista de Dados/Data Analyst,PYTHON
BR-MG,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Outra Opção,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-MT,Analista de Dados/Data Analyst,PYTHON
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-MG,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-BA,Não informado,NÃO INFORMADO
BR-SP,Cientista de Dados/Data Scientist,R
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-Não informado,Não informado,NÃO INFORMADO
BR-SC,Cientista de Dados/Data Scientist,PYTHON
BR-RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-PR,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-PR,Não informado,NÃO INFORMADO
BR-SP,Analytics Engineer,PYTHON
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RS,Não informado,NÃO INFORMADO
BR-MG,Cientista de Dados/Data Scientist,PYTHON
BR-ES,Analista de Dados/Data Analyst,PYTHON
BR-PR,Analista de Dados/Data Analyst,SQL
BR-PR,Analista de Suporte/Analista Técnico,PYTHON
BR-RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Outra Opção,PYTHON
BR-SP,Outra Opção,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-PE,Não informado,NÃO INFORMADO
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-MG,Analista de BI/BI Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-SP,Não informado,NÃO INFORMADO
BR-RJ,Outra Opção,PYTHON
BR-Não informado,Não informado,NÃO INFORMADO
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,JULIA
BR-SC,Não informado,NÃO INFORMADO
BR-Não informado,Analista de Dados/Data Analyst,PYTHON
BR-RJ,Analista de BI/BI Analyst,PYTHON
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-PR,Engenheiro de Machine Learning/ML Engineer,PYTHON
BR-SP,Analista de Dados/Data Analyst,SQL
BR-MG,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Analytics Engineer,PYTHON
BR-MG,Não informado,NÃO INFORMADO
BR-PR,Analista de Dados/Data Analyst,PYTHON
BR-RJ,Analista de BI/BI Analyst,PYTHON
BR-PB,Não informado,NÃO INFORMADO
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-MG,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Não informado,NÃO INFORMADO
BR-SP,Não informado,NÃO INFORMADO
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,CLOJURE
BR-PE,Não informado,NÃO INFORMADO
BR-RS,Cientista de Dados/Data Scientist,PYTHON
BR-RN,Não informado,NÃO INFORMADO
BR-SE,Analytics Engineer,PYTHON
BR-SP,Analista de BI/BI Analyst,PYTHON
BR-SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,R
BR-SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,PYTHON
BR-Não informado,Analista de Negócios/Business Analyst,R
BR-MT,Cientista de Dados/Data Scientist,PYTHON
BR-SC,Analista de Marketing,PYTHON
BR-SP,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),PYTHON
BR-MG,Analista de BI/BI Analyst,PYTHON
BR-SP,Analista de Negócios/Business Analyst,PYTHON
BR-SP,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),PYTHON
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-BA,Não informado,NÃO INFORMADO
BR-PR,Analista de BI/BI Analyst,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-DF,Não informado,NÃO INFORMADO
BR-MG,Analista de Inteligência de Mercado/Market Intelligence,PYTHON
BR-SP,Analista de Dados/Data Analyst,R
BR-SP,Analista de Dados/Data Analyst,PYTHON
BR-RJ,Analista de Dados/Data Analyst,PYTHON
BR-ES,Não informado,NÃO INFORMADO
BR-RN,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-BA,Não informado,NÃO INFORMADO
BR-SP,Cientista de Dados/Data Scientist,PYTHON
BR-SC,Outra Opção,PYTHON
BR-SP,Não informado,NÃO INFORMADO
BR-SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,PYTHON
BR-RJ,Cientista de Dados/Data Scientist,PYTHON
BR-SP,Analista de Dados/Data Analyst,R
